Abono Linea	12.50
Conceptos de Internet	50.00
Detalle llamadas locales	4.50
Detector de llamadas	4.00

**Detalle**
1111122222	02/04/2008 12:25	04:23	3.30
1142417924	03/04/2008 04:02	01:01	0.60
1111122222	03/04/2008 05:50	10:00	1.80
1142402649	04/04/2008 12:24	00:20	0.30
1149242317	04/04/2008 15:54	10:40	2.20
5555566666	04/04/2008 15:51	01:50	1.00
7777788888	05/04/2008 15:52	00:10	0.10
2222222222	06/04/2008 09:53	10:30	9.20
3333322333	07/04/2008 15:50	10:40	9.30
3330122333	07/04/2008 15:54	02:39	0.90
9999988888	08/04/2008 02:39	01:39	0.60
9999988888	09/04/2008 12:23	00:39	0.30
